id,type,readonly,group,name
0,8,1,deck,bcLedRing
1,8,1,deck,bcMultiranger
2,8,0,ring,effect
3,10,1,ring,neffect
4,8,0,ring,solidRed
5,8,0,ring,solidGreen
6,8,0,ring,solidBlue
7,8,0,ring,headlightEnable
8,6,0,ring,emptyCharge
9,6,0,ring,fullCharge
10,10,0,ring,fadeColor
11,6,0,ring,fadeTime
12,8,0,system,highlight
13,8,0,system,storageStats
14,8,0,system,storageReformat
15,0,0,system,arm
16,8,0,system,taskDump
17,0,1,system,selftestPassed
18,8,0,system,assertInfo
19,8,0,system,testLogParam
20,8,0,system,doAssert
21,9,0,multiranger,filterMask
22,8,0,led,bitmask
23,8,0,motorPowerSet,enable
24,9,0,motorPowerSet,m1
25,9,0,motorPowerSet,m2
26,9,0,motorPowerSet,m3
27,9,0,motorPowerSet,m4
28,6,0,pm,lowVoltage
29,6,0,pm,criticalLowVoltage
30,8,1,imu_sensors,BMP3XX
31,6,0,imu_sensors,imuPhi
32,6,0,imu_sensors,imuTheta
33,6,0,imu_sensors,imuPsi
34,8,1,imu_sensors,AK8963
35,8,1,imu_sensors,LPS25H
36,8,1,imu_tests,MPU6500
37,8,1,imu_tests,AK8963
38,8,1,imu_tests,LPS25H
39,6,0,imu_tests,imuPhi
40,6,0,imu_tests,imuTheta
41,6,0,imu_tests,imuPsi
42,8,0,syslink,probe
43,8,0,usec,reset
44,8,0,colAv,enable
45,6,0,colAv,ellipsoidX
46,6,0,colAv,ellipsoidY
47,6,0,colAv,ellipsoidZ
48,6,0,colAv,bboxMinX
49,6,0,colAv,bboxMinY
50,6,0,colAv,bboxMinZ
51,6,0,colAv,bboxMaxX
52,6,0,colAv,bboxMaxY
53,6,0,colAv,bboxMaxZ
54,6,0,colAv,horizon
55,6,0,colAv,maxSpeed
56,6,0,colAv,sidestepThrsh
57,2,0,colAv,maxPeerLocAge
58,6,0,colAv,vorTol
59,2,0,colAv,vorIters
60,8,0,commander,enHighLevel
61,6,0,cppm,rateRoll
62,6,0,cppm,ratePitch
63,6,0,cppm,angPitch
64,6,0,cppm,angRoll
65,6,0,cppm,rateYaw
66,6,0,hlCommander,vtoff
67,6,0,hlCommander,vland
68,8,0,hlCommander,groupmask
69,8,0,flightmode,althold
70,8,0,flightmode,poshold
71,8,0,flightmode,posSet
72,8,0,flightmode,yawMode
73,8,0,flightmode,stabModeRoll
74,8,0,flightmode,stabModePitch
75,8,0,flightmode,stabModeYaw
76,8,0,locSrv,enRangeStreamFP32
77,8,0,locSrv,enLhAngleStream
78,6,0,locSrv,extPosStdDev
79,6,0,locSrv,extQuatStdDev
80,9,0,crtpsrv,echoDelay
81,8,0,health,startPropTest
82,8,0,health,startBatTest
83,9,0,health,propTestPWMRatio
84,9,0,health,batTestPWMRatio
85,6,0,kalman,maxPos
86,6,0,kalman,maxVel
87,8,0,kalman,resetEstimation
88,8,0,kalman,robustTdoa
89,8,0,kalman,robustTwr
90,6,0,kalman,pNAcc_xy
91,6,0,kalman,pNAcc_z
92,6,0,kalman,pNVel
93,6,0,kalman,pNPos
94,6,0,kalman,pNAtt
95,6,0,kalman,mNBaro
96,6,0,kalman,mNGyro_rollpitch
97,6,0,kalman,mNGyro_yaw
98,6,0,kalman,initialX
