id,type,readonly,group,name
0,8,0,activeMarker,front
1,8,0,activeMarker,back
2,8,0,activeMarker,left
3,8,0,activeMarker,right
4,8,0,activeMarker,mode
5,8,0,activeMarker,poll
6,8,1,deck,bcActiveMarker
7,8,1,deck,bcAI
8,8,1,deck,bcBigQuad
9,8,1,deck,bcBuzzer
10,8,1,deck,bcFlow
11,8,1,deck,bcFlow2
12,8,1,deck,bcLedRing
13,8,1,deck,bcLighthouse4
14,8,1,deck,bcDWM1000
15,8,1,deck,bcLoco
16,8,1,deck,bcMultiranger
17,8,1,deck,bcOA
18,8,1,deck,bcUSD
19,8,1,deck,bcZRanger
20,8,1,deck,bcZRanger2
21,8,0,motion,disable
22,8,0,motion,adaptive
23,6,0,motion,flowStdFixed
24,8,0,ring,effect
25,10,1,ring,neffect
26,8,0,ring,solidRed
27,8,0,ring,solidGreen
28,8,0,ring,solidBlue
29,8,0,ring,headlightEnable
30,6,0,ring,emptyCharge
31,6,0,ring,fullCharge
32,10,0,ring,fadeColor
33,6,0,ring,fadeTime
34,8,0,system,highlight
35,8,0,system,storageStats
36,8,0,system,storageReformat
37,8,0,system,taskDump
38,0,1,system,selftestPassed
39,0,0,system,forceArm
40,8,0,system,assertInfo
41,8,0,loco,mode
42,6,0,tdoa2,stddev
43,6,0,tdoa3,stddev
44,9,0,multiranger,filterMask
45,8,1,usd,canLog
46,8,0,usd,logging
47,8,0,led,bitmask
48,8,0,motorPowerSet,enable
49,9,0,motorPowerSet,m1
50,9,0,motorPowerSet,m2
51,9,0,motorPowerSet,m3
52,9,0,motorPowerSet,m4
53,6,0,pm,lowVoltage
54,6,0,pm,criticalLowVoltage
55,8,1,imu_sensors,BMP388
56,6,0,imu_sensors,imuPhi
57,6,0,imu_sensors,imuTheta
58,6,0,imu_sensors,imuPsi
59,8,1,imu_sensors,AK8963
60,8,1,imu_sensors,LPS25H
61,8,1,imu_tests,MPU6500
62,8,1,imu_tests,AK8963
63,8,1,imu_tests,LPS25H
64,6,0,imu_tests,imuPhi
65,6,0,imu_tests,imuTheta
66,6,0,imu_tests,imuPsi
67,8,0,syslink,probe
68,6,0,pid_attitude,roll_kp
69,6,0,pid_attitude,roll_ki
70,6,0,pid_attitude,roll_kd
71,6,0,pid_attitude,roll_kff
72,6,0,pid_attitude,pitch_kp
73,6,0,pid_attitude,pitch_ki
74,6,0,pid_attitude,pitch_kd
75,6,0,pid_attitude,pitch_kff
76,6,0,pid_attitude,yaw_kp
77,6,0,pid_attitude,yaw_ki
78,6,0,pid_attitude,yaw_kd
79,6,0,pid_attitude,yaw_kff
80,6,0,pid_attitude,yawMaxDelta
81,0,0,pid_attitude,attFiltEn
82,6,0,pid_attitude,attFiltCut
83,6,0,pid_rate,roll_kp
84,6,0,pid_rate,roll_ki
85,6,0,pid_rate,roll_kd
86,6,0,pid_rate,roll_kff
87,6,0,pid_rate,pitch_kp
